EmpCode,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,Success (Y),Tried (E),Not Tried (N)
218791,09:22 - 00:00,N,09:10 - 17:01,08:57 - 15:34,09:17 - 17:05,09:11 - 16:26,09:02 - 16:28,N,N,09:25 - 16:35,09:02 - 15:47,08:59 - 15:49,N,N,10:59 - 17:28,N,09:18 - 15:51,09:10 - 16:05,09:29 - 16:40,09:32 - 17:31,N,09:16 - 00:00,N,09:21 - 17:29,09:11 - 17:33,09:08 - 16:26,09:14 - 17:32,09:01 - 15:17,09:10 - 00:00,21,0,8
134841,08:55 - 16:07,N,N,09:22 - 16:23,09:02 - 16:24,08:59 - 16:24,09:05 - 16:26,09:17 - 00:00,N,N,09:44 - 10:11,09:52 - 16:27,09:41 - 16:21,09:33 - 16:18,08:51 - 16:39,N,09:35 - 16:58,09:02 - 16:42,09:17 - 16:17,09:11 - 16:08,N,09:12 - 16:14,N,09:48 - 16:19,09:09 - 16:19,09:18 - 16:24,09:09 - 16:18,09:15 - 16:29,09:02 - 16:14,22,0,7
726264,08:15 - 15:32,N,09:18 - 16:48,09:33 - 16:42,09:44 - 17:09,08:28 - 15:03,08:24 - 15:11,08:12 - 17:11,N,N,09:44 - 16:44,09:46 - 16:40,08:24 - 14:59,N,08:36 - 15:04,N,09:39 - 16:46,09:42 - 16:48,08:32 - 12:17,08:28 - 15:21,N,08:18 - 15:00,N,09:24 - 16:46,09:10 - 15:59,09:41 - 16:53,08:21 - 15:04,08:16 - 15:05,08:18 - 14:14,22,0,7
766610,N,N,09:46 - 16:58,09:36 - 16:47,09:48 - 16:48,N,09:45 - 16:50,09:45 - 16:46,N,09:42 - 16:44,10:04 - 16:47,09:43 - 16:52,09:43 - 16:50,10:00 - 16:59,09:48 - 16:45,N,09:52 - 17:12,09:48 - 16:50,N,09:45 - 16:47,N,N,N,09:40 - 16:42,09:47 - 16:53,09:43 - 16:53,N,N,N,17,0,12
923947,10:27 - 00:00,N,10:00 - 16:56,09:53 - 00:00,10:15 - 00:00,10:57 - 00:00,10:02 - 00:00,10:11 - 16:25,N,11:03 - 17:09,10:10 - 00:00,10:12 - 00:00,10:09 - 00:00,10:03 - 00:00,10:13 - 17:15,N,09:55 - 00:00,10:04 - 00:00,09:52 - 00:00,10:12 - 00:00,N,10:00 - 00:00,N,10:11 - 00:00,10:12 - 00:00,10:18 - 00:00,10:03 - 00:00,09:59 - 16:48,10:02 - 00:00,24,0,5
227922,09:37 - 16:49,N,09:48 - 16:58,09:39 - 16:47,09:48 - 16:50,09:37 - 16:44,N,09:39 - 16:44,N,09:51 - 16:47,10:04 - 16:46,09:40 - 16:51,09:50 - 16:50,09:35 - 16:48,09:50 - 16:46,N,09:38 - 16:48,09:39 - 16:50,09:50 - 16:48,N,N,09:51 - 16:47,N,09:48 - 16:49,09:54 - 16:50,09:45 - 16:47,09:47 - 16:48,09:48 - 16:49,09:50 - 16:45,22,0,7
265813,09:40 - 16:43,N,09:44 - 16:44,08:17 - 15:13,09:46 - 16:48,08:21 - 15:07,08:15 - 15:09,09:34 - 17:06,N,09:42 - 16:44,09:53 - 16:41,09:40 - 16:42,08:22 - 15:00,08:10 - 15:07,09:40 - 16:43,N,09:44 - 16:48,08:24 - 15:00,09:41 - 16:42,09:36 - 16:43,N,09:40 - 16:41,N,09:43 - 16:46,08:18 - 15:00,09:38 - 16:41,08:21 - 14:59,08:18 - 15:04,09:32 - 15:27,24,0,5
247137,09:27 - 16:43,N,09:31 - 16:07,09:19 - 16:02,09:11 - 16:11,09:35 - 16:03,08:26 - 15:00,09:21 - 16:00,N,09:55 - 16:42,09:45 - 16:39,09:42 - 16:49,09:24 - 16:03,09:19 - 00:00,09:27 - 16:05,N,09:41 - 16:08,08:27 - 12:53,09:35 - 16:14,09:47 - 16:07,N,09:21 - 16:01,N,09:22 - 16:04,09:29 - 15:59,09:23 - 16:05,08:26 - 14:55,N,N,22,0,7
407061,09:35 - 16:41,N,08:02 - 15:08,09:32 - 16:47,08:03 - 15:03,08:02 - 15:03,09:34 - 16:44,09:33 - 17:10,N,09:36 - 16:37,10:07 - 16:39,09:34 - 16:36,08:08 - 15:01,09:37 - 16:43,08:05 - 14:57,N,08:10 - 14:57,09:34 - 12:53,08:04 - 15:01,08:06 - 15:00,N,08:06 - 15:00,N,N,09:34 - 16:48,08:07 - 14:36,08:09 - 15:04,08:06 - 15:00,09:36 - 16:43,23,0,6
226714,N,N,09:49 - 16:50,09:10 - 16:46,09:19 - 16:48,09:37 - 16:46,09:36 - 16:50,09:39 - 17:05,N,09:50 - 16:43,09:48 - 16:47,09:44 - 16:51,09:49 - 16:47,09:34 - 16:48,N,N,09:39 - 16:48,09:44 - 16:52,08:12 - 15:01,09:50 - 16:54,N,08:08 - 00:00,N,07:58 - 15:30,N,09:24 - 16:47,09:15 - 15:37,09:13 - 16:49,09:50 - 16:45,21,0,8
